Q886464	Q4497793
Q6868941	Q4773022
Q12489893	Q2192951
Q7769289	Q2695347
Q1448044	Q1888036
Q4818814	Q5100962
Q4261724	Q7587847
Q2361262	Q5157281
Q5121982	Q2227192
Q7515529	Q9219637
Q12158134	Q9069541
Q8290700	Q1720520
Q3502181	Q10709238
Q6640735	Q4759588
Q6981602	Q12097695
Q5860139	Q1509040
Q8187354	Q64708
Q1503381	Q6923941
Q9489355	Q7914328
Q1462715	Q5478828
Q12400693	Q11635642
Q3683122	Q3402353
Q4355626	Q9888262
Q6595690	Q9140209
Q10642799	Q3268133
Q1686873	Q3000485
Q1733882	Q3961620
Q8435370	Q3301597
Q10626539	Q4262533
Q2347368	Q3546279
Q2428087	Q875665
Q3028214	Q5036006
Q8950843	Q12499716
Q1976266	Q4667034
Q4274182	Q9758033
Q6171926	Q11529433
Q123183	Q5519531
Q6708068	Q9581948
Q3714968	Q11705785
Q1448414	Q1922113
Q10623924	Q10856448
Q10806053	Q8437966
Q10852220	Q8064316
Q4057033	Q7950600
Q505988	Q684793
Q10636980	Q8297731
Q6705642	Q7183990
Q11954877	Q7606248
Q847770	Q34209
Q10921244	Q438620
Q5460210	Q7427893
Q12037238	Q615380
Q7344160	Q10424075
Q9618141	Q7897535
Q9420756	Q8935683
Q1175661	Q7511611
Q5969580	Q5937133
Q9168596	Q1990121
Q1450418	Q9955311
Q7035868	Q3205140
Q382241	Q4078285
Q1280380	Q10147969
Q7460154	Q9611243
Q1413510	Q8151284
Q672042	Q7414706
Q240582	Q12726918
Q2398987	Q8561527
Q255165	Q682981
Q7296871	Q354106
Q8796556	Q12591897
Q7758193	Q4816094
Q2741630	Q9408552
Q3295864	Q7490117
Q3169549	Q9941510
Q7612144	Q9703913
Q2042139	Q4583368
Q2815410	Q9100906
Q7133415	Q2991919
Q11667105	Q11525234
Q11844885	Q8678084
Q6885095	Q10070882
Q5708938	Q8111485
Q8119982	Q9488464
Q2684650	Q3955892
Q3738385	Q8757571
Q11195976	Q10210440
Q7520675	Q4348628
Q293259	Q11913149
Q7300692	Q1476117
Q260023	Q10462845
Q7552074	Q5603367
Q5012963	Q3241624
Q5239865	Q7117502
Q3895573	Q2045851
Q11784723	Q2285988
Q10877385	Q4497515
Q5793095	Q2169932
Q3761322	Q3907267
Q2912043	Q2130981
Q2543930	Q4458963
