Q3082549	Q26201397
Q3414074	Q7379174
Q21385257	Q29546454
Q9837383	Q26207012
Q26812892	Q25747833
Q22743412	Q6386390
Q7351986	Q7080481
Q26249155	Q15995209
Q15186752	Q16870396
Q6992308	Q7203959
Q29527406	Q6588363
Q21666576	Q23890703
Q22876819	Q26001801
Q1998043	Q15236614
Q3655073	Q6648180
Q29337458	Q17030552
Q13751760	Q26192268
Q21356082	Q19780988
Q14498223	Q5146544
Q18320359	Q4281409
Q1532246	Q5126431
Q13785849	Q3975030
Q5714639	Q705273
Q16193189	Q2324485
Q21444002	Q21182092
Q10959276	Q28734981
Q10344551	Q20645686
Q29896509	Q13548445
Q11863835	Q6688974
Q9966426	Q10141667
Q26549731	Q4005185
Q6791486	Q7434746
Q10692815	Q21152987
Q15641122	Q27636552
Q14547824	Q14677997
Q23787475	Q13493533
Q4662042	Q9801830
Q21889121	Q27020011
Q13321897	Q10969446
Q14180951	Q16496144
Q9355035	Q9214524
Q26548986	Q28353298
Q28032920	Q6188627
Q24121963	Q25337612
Q4500382	Q6117842
Q951246	Q15592282
Q23067342	Q18028328
Q29391270	Q26509854
Q7607488	Q5934816
Q23544668	Q18686855
Q23833222	Q29353151
Q24973903	Q26358720
Q7364258	Q8846010
Q12043529	Q1387245
Q2336947	Q26303530
Q18262744	Q11178124
Q4275847	Q2719698
Q7151452	Q2642747
Q21628571	Q10050477
Q4298578	Q24040880
Q19065687	Q26239917
Q4726844	Q12063961
Q18924894	Q8137543
Q12089559	Q23990582
Q17960425	Q10414953
Q454522	Q22546457
Q27322578	Q10168695
Q23500344	Q6677926
Q5520557	Q4169010
Q23138988	Q22665830
Q27170113	Q13836120
Q18458616	Q29257986
Q9073678	Q21918754
Q15632840	Q12835078
Q15323731	Q20105262
Q24606893	Q15887808
Q4818773	Q6975956
Q23981970	Q23104400
Q7672869	Q21503880
Q14537780	Q26541004
Q27862249	Q17809720
Q17578180	Q15437515
Q16105292	Q28875562
Q9979575	Q11383073
Q24711055	Q3016952
Q16163301	Q10409089
Q8452566	Q22246949
Q5056806	Q9353917
Q3520018	Q15209515
Q17801869	Q26305324
Q6471733	Q22404828
Q22897676	Q12443310
Q5268387	Q22759123
Q2249843	Q9605663
Q8402566	Q2576096
Q24013364	Q13228122
Q7816901	Q4961120
Q12523511	Q24122263
Q8094476	Q1123774
Q13664317	Q23730004
