sep=;
Max
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;6.0;48928.0;2.4032538E7;3517714.0;1.0
Degree;27.0;45355.0;1.9506909E7;571701.0;571701.0
Degree and edge weight;23.0;60332.0;2.0575532E7;571701.0;571701.0
Degree normalized;6.0;127485.0;2.3348262E7;3517714.0;2.0
Degree normalized and edge weight;6.0;72533.0;2.5401623E7;3517714.0;2.0
PageRank;27.0;59402.0;1.8911386E7;571701.0;0.001544234631784663
PageRank and edge weight;6.0;88312.0;2.8401307E7;3517714.0;0.04088949929711903
PageRank normalized;6.0;67249.0;2.3607989E7;3517714.0;2.0
PageRank normalized and edge weight;6.0;81534.0;2.5917358E7;3517714.0;2.0
Min
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3.0;5283.0;69768.0;12142.0;1.0
Degree;5.0;4509.0;15061.0;24.0;24.0
Degree and edge weight;5.0;4742.0;13737.0;26.0;26.0
Degree normalized;3.0;4896.0;11983.0;1949.0;1.0005540530014663
Degree normalized and edge weight;3.0;5473.0;7245.0;1949.0;1.0005540530014663
PageRank;5.0;5108.0;47781.0;33.0;1.4981633751063403E-8
PageRank and edge weight;3.0;6021.0;7182.0;5049.0;1.3260668020561395E-5
PageRank normalized;3.0;5102.0;18160.0;1949.0;1.0000590235355877
PageRank normalized and edge weight;3.0;5742.0;7181.0;1949.0;1.0000590235355877
Mean
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4.12;27026.73;7038702.9;1629213.0;1.0
Degree;13.37;18599.13;4965044.56;9398.54;9398.54
Degree and edge weight;12.68;24551.47;5247210.94;9399.23;9399.23
Degree normalized;4.13;28284.89;6035283.37;833831.52;1.2370378944962548
Degree normalized and edge weight;4.16;30354.19;5885650.77;779763.75;1.221667750704008
PageRank;14.45;28486.4;5872908.28;9456.54;3.845254910102037E-5
PageRank and edge weight;4.17;36009.71;6315769.62;837039.84;0.0027953694590023602
PageRank normalized;4.12;29147.06;5961329.96;907192.76;1.0697328945691433
PageRank normalized and edge weight;4.15;34126.19;6143191.07;836240.62;1.0639969168968306
25 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3.0;17242.0;2470080.0;304706.0;1.0
Degree;11.0;9576.0;1519089.0;48.0;48.0
Degree and edge weight;10.0;11018.0;1517868.0;50.0;50.0
Degree normalized;3.0;16341.0;1630818.0;74593.0;1.0212049643603773
Degree normalized and edge weight;4.0;17908.0;1574916.0;171213.0;1.0486716657465616
PageRank;12.0;15995.0;2223371.0;72.0;8.415902697670033E-8
PageRank and edge weight;4.0;20670.0;1250469.0;171213.0;7.054990181777329E-4
PageRank normalized;3.0;17191.0;1482297.0;133599.0;1.0071885082368297
PageRank normalized and edge weight;3.0;19777.0;1668603.0;171213.0;1.0106630643700127
Median
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4.0;27224.0;4739143.0;912422.0;1.0
Degree;13.0;16350.0;3496751.0;103.0;103.0
Degree and edge weight;12.0;20590.0;3544896.0;103.0;103.0
Degree normalized;4.0;24852.0;3953375.0;232699.0;1.066150630778966
Degree normalized and edge weight;4.0;25355.0;3324631.0;232699.0;1.066150630778966
PageRank;15.0;28424.0;5117763.0;115.0;2.720496543007063E-7
PageRank and edge weight;4.0;30461.0;3543331.0;446215.0;0.0013696818469376725
PageRank normalized;4.0;25618.0;3821489.0;232699.0;1.0190780138720568
PageRank normalized and edge weight;4.0;29042.0;3567961.0;232699.0;1.0334971538043307
75 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5.0;36206.0;1.1216366E7;2770299.0;1.0
Degree;16.0;25603.0;6868548.0;405.0;405.0
Degree and edge weight;15.0;34781.0;7182966.0;405.0;405.0
Degree normalized;5.0;37884.0;9281097.0;912422.0;1.2593792445889576
Degree normalized and edge weight;5.0;40801.0;8079803.0;912422.0;1.2593792445889576
PageRank;17.0;40008.0;8306868.0;408.0;1.3084874616224358E-6
PageRank and edge weight;5.0;48137.0;1.0179973E7;912422.0;0.004725813720252869
PageRank normalized;5.0;40407.0;9605480.0;1904036.0;1.11557524062384
PageRank normalized and edge weight;5.0;47919.0;9611794.0;912422.0;1.11557524062384
