sep=;
Max
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;8.0;111156.0;2.4906108E7;3517714.0;1.0
Degree;24.0;56240.0;2.4665842E7;2908128.0;2908128.0
Degree and edge weight;24.0;71964.0;2.5782792E7;2908128.0;2908128.0
Degree normalized;8.0;71905.0;2.4956321E7;2908128.0;1.8267096188035752
Degree normalized and edge weight;8.0;94906.0;2.9987395E7;2908128.0;1.8267096188035752
PageRank;29.0;65024.0;2.4765213E7;2908128.0;0.04088949929711903
PageRank and edge weight;8.0;109419.0;3.3196541E7;2908128.0;0.04088949929711903
PageRank normalized;8.0;67124.0;2.4855197E7;2908128.0;2.0
PageRank normalized and edge weight;8.0;91508.0;3.0542042E7;2908128.0;2.0
Min
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3.0;5375.0;33742.0;14508.0;1.0
Degree;3.0;6094.0;33552.0;22.0;22.0
Degree and edge weight;3.0;6481.0;33552.0;22.0;22.0
Degree normalized;3.0;5366.0;33552.0;3986.0;1.001133122249279
Degree normalized and edge weight;3.0;5419.0;64138.0;20806.0;1.0059146366077516
PageRank;3.0;5385.0;33559.0;31.0;6.440915824481515E-8
PageRank and edge weight;3.0;6091.0;64148.0;20806.0;1.0832497909340608E-4
PageRank normalized;3.0;6063.0;33559.0;3986.0;1.000834630021132
PageRank normalized and edge weight;3.0;4789.0;64147.0;20806.0;1.0026492126574178
Mean
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5.07;35574.75;1.236865198E7;2018276.48;1.0
Degree;11.68;37910.32;1.312664883E7;874386.98;874386.98
Degree and edge weight;11.51;50454.66;1.391836358E7;874386.98;874386.98
Degree normalized;5.07;47027.6;1.293228258E7;1609180.88;1.4574507421581162
Degree normalized and edge weight;5.08;53866.02;1.455373673E7;1641152.73;1.4665395566552581
PageRank;12.94;45295.26;1.293140594E7;874946.93;0.010678484101557447
PageRank and edge weight;5.13;56613.97;1.52452968E7;1662172.66;0.013303924422012704
PageRank normalized;5.07;43173.62;1.29678636E7;1636759.28;1.3176562364452153
PageRank normalized and edge weight;5.08;52439.98;1.467146543E7;1648869.28;1.3218139100099244
25 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5.0;30179.0;6818118.0;907011.0;1.0
Degree;7.0;29708.0;7954148.0;2012.0;2012.0
Degree and edge weight;7.0;41314.0;8603476.0;2012.0;2012.0
Degree normalized;5.0;34866.0;7378434.0;756722.0;1.2151175450875198
Degree normalized and edge weight;5.0;40280.0;7022151.0;756722.0;1.2151175450875198
PageRank;8.0;39402.0;8187657.0;2012.0;6.25424344812338E-6
PageRank and edge weight;5.0;37805.0;6676883.0;826897.0;0.004224717743460754
PageRank normalized;5.0;31375.0;6310117.0;756722.0;1.0524563991095763
PageRank normalized and edge weight;5.0;37430.0;7305070.0;756722.0;1.054559406315844
Median
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5.0;35625.0;1.2780498E7;2206078.0;1.0
Degree;11.0;41590.0;1.2983609E7;157396.0;157396.0
Degree and edge weight;11.0;56081.0;1.3957102E7;157396.0;157396.0
Degree normalized;5.0;49367.0;1.3187888E7;1904036.0;1.5412708366854155
Degree normalized and edge weight;5.0;58271.0;1.5550099E7;1904036.0;1.5412708366854155
PageRank;11.0;50465.0;1.2926184E7;157396.0;5.939267463974472E-4
PageRank and edge weight;5.0;58103.0;1.5663827E7;1904036.0;0.0052590818132850796
PageRank normalized;5.0;46760.0;1.3723562E7;1904036.0;1.128616928641521
PageRank normalized and edge weight;5.0;56189.0;1.5655253E7;1904036.0;1.128616928641521
75 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5.0;41905.0;1.8003533E7;2908128.0;1.0
Degree;15.0;48628.0;1.9260666E7;2206078.0;2206078.0
Degree and edge weight;15.0;63837.0;2.0327472E7;2206078.0;2206078.0
Degree normalized;5.0;60743.0;1.8951482E7;2770299.0;1.7875282072391332
Degree normalized and edge weight;5.0;70250.0;2.1345684E7;2770299.0;1.7875282072391332
PageRank;17.0;57602.0;1.8639044E7;2206078.0;0.010624008765957291
PageRank and edge weight;5.0;77198.0;2.3179318E7;2770299.0;0.010624008765957291
PageRank normalized;5.0;54588.0;1.8417519E7;2770299.0;1.2598224225921455
PageRank normalized and edge weight;5.0;68634.0;2.2044598E7;2770299.0;1.2598224225921455
