sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q90270;Q13470;Q90270,<P21,Q6581097,P21>,Q20012146,<P19,Q13470;1.0,1.1487194630975037,1.0,1.1487194630975037,1.0,1.0725101947180826,1.0;4;27874
Baseline;Q40392;Q95745;Q40392,P31>,Q237284,<P61,Q1932238,<P21,Q6581097,P21>,Q95745;1.0,2.0,1.0,1.00312076996879,1.0,1.1487194630975037,1.0,1.1487194630975037,1.0;5;36187
Baseline;Q97181;Q35364;Q97181,<P27,Q183,P530>,Q145,P17>,Q35364;1.0,1.1006710392804533,1.0,1.000078445681008,1.0,1.291023482043868,1.0;4;38979
Baseline;Q29903;Q8493;Q29903,<P641,Q2736,P641>,Q655027,<P17,Q889,P17>,Q8493;1.0,1.0303254300864417,1.0,1.0303254300864417,1.0,1.291023482043868,1.0,1.291023482043868,1.0;5;23678
Baseline;Q14288;Q78505;Q14288,<P17,Q40,P27>,Q78505;1.0,1.291023482043868,1.0,1.1006710392804533,1.0;3;13764
Baseline;Q44816;Q68544;Q44816,<P159,Q90,P551>,Q84445,<P551,Q12738,P131>,Q68544;1.0,1.0058204829668707,1.0,1.0016495803000596,1.0,1.0016495803000596,1.0,1.1890069616321997,1.0;5;32121
Baseline;Q17327;Q34765;Q17327,<P17,Q38,P530>,Q733,<P421,Q5762,P421>,Q34765;1.0,1.291023482043868,1.0,1.000078445681008,1.0,1.0600073479527476,1.0,1.0600073479527476,1.0;5;45562
Baseline;Q93821;Q34330;Q93821,<P31,Q5,P31>,Q3958502,<P19,Q34330;1.0,2.0,1.0,2.0,1.0,1.0725101947180826,1.0;4;25586
Baseline;Q55343;Q8185;Q55343,<P17,Q142,<P463,Q458,P1001>,Q8185;1.0,1.291023482043868,1.0,1.0099086312148158,1.0,1.0014059367211652,1.0;4;26834
Baseline;Q81818;Q11132;Q81818,<P31,Q5,P31>,Q11132;1.0,2.0,1.0,2.0,1.0;3;12112
Baseline;Q15604;Q93268;Q15604,<P3764,Q9671,<P27,Q183,P17>,Q93268;1.0,1.0000851975176517,1.0,1.1006710392804533,1.0,1.291023482043868,1.0;4;24627
Baseline;Q10732;Q22965;Q10732,<P21,Q6581097,P21>,Q2541397,<P19,Q22965;1.0,1.1487194630975037,1.0,1.1487194630975037,1.0,1.0725101947180826,1.0;4;31226
Baseline;Q22384;Q28179;Q22384,<P17,Q142,P17>,Q3477187,<P31,Q13417114,P31>,Q28179;1.0,1.291023482043868,1.0,1.291023482043868,1.0,2.0,1.0,2.0,1.0;5;48103
Baseline;Q91968;Q99723;Q91968,<P21,Q6581097,P21>,Q99723;1.0,1.1487194630975037,1.0,1.1487194630975037,1.0;3;14248
Baseline;Q71521;Q66780;Q71521,<P27,Q183,P530>,Q30,P17>,Q66780;1.0,1.1006710392804533,1.0,1.000078445681008,1.0,1.291023482043868,1.0;4;41334
Baseline;Q69026;Q9626;Q69026,<P17,Q142,P20>,Q6105847,<P102,Q9626;1.0,1.291023482043868,1.0,1.0261066426834322,1.0,1.0107562532334968,1.0;4;21877
Baseline;Q86639;Q78508;Q86639,<P21,Q6581097,P21>,Q78508;1.0,1.1487194630975037,1.0,1.1487194630975037,1.0;3;8798
Baseline;Q7608;Q67533;Q7608,P2408>,Q10809656,<P161,Q473580,<P21,Q6581097,P21>,Q67533;1.0,1.000029006245582,1.0,1.0341927666241435,1.0,1.1487194630975037,1.0,1.1487194630975037,1.0;5;25784
Baseline;Q77192;Q87673;Q77192,<P31,Q5,P31>,Q87673;1.0,2.0,1.0,2.0,1.0;3;11761
Baseline;Q85984;Q98413;Q85984,<P31,Q5,P31>,Q98413;1.0,2.0,1.0,2.0,1.0;3;10751
Baseline;Q67662;Q91938;Q67662,<P17,Q39,<P47,Q183,P27>,Q91938;1.0,1.291023482043868,1.0,1.0203477258059594,1.0,1.1006710392804533,1.0;4;21637
Baseline;Q20269;Q26707;Q20269,<P17,Q183,P17>,Q25713875,<P31,Q3957,P31>,Q26707;1.0,1.291023482043868,1.0,1.291023482043868,1.0,2.0,1.0,2.0,1.0;5;38254
Baseline;Q58293;Q65068;Q58293,<P31,Q5,P31>,Q65068;1.0,2.0,1.0,2.0,1.0;3;12440
Baseline;Q98792;Q28772;Q98792,<P31,Q5,P31>,Q11213539,<P136,Q185363,P136>,Q28772;1.0,2.0,1.0,2.0,1.0,1.0250936895069307,1.0,1.0250936895069307,1.0;5;41247
Baseline;Q816;Q25010;Q816,P150>,Q30,<P972,Q5460604,P972>,Q577,P31>,Q25010;1.0,1.0442580226811073,1.0,1.0001055862875172,1.0,1.0001055862875172,1.0,2.0,1.0;5;47339
Baseline;Q94265;Q35705;Q94265,<P31,Q5,P31>,Q35705;1.0,2.0,1.0,2.0,1.0;3;14250
Baseline;Q35680;Q53232;Q35680,<P31,Q34770,P31>,Q652,P37>,Q38,P17>,Q53232;1.0,2.0,1.0,2.0,1.0,1.000220500770398,1.0,1.291023482043868,1.0;5;39985
Baseline;Q12703;Q86459;Q12703,<P17,Q142,<P530,Q159,P17>,Q86459;1.0,1.291023482043868,1.0,1.000078445681008,1.0,1.291023482043868,1.0;4;32611
Baseline;Q77482;Q26802;Q77482,<P27,Q183,P530>,Q252,P17>,Q26802;1.0,1.1006710392804533,1.0,1.000078445681008,1.0,1.291023482043868,1.0;4;28619
Baseline;Q17798;Q34529;Q17798,<P17,Q38,P710>,Q361,P607>,Q34529;1.0,1.291023482043868,1.0,1.0037222164698352,1.0,1.0050958598670519,1.0;4;24150
Baseline;Q61019;Q16182;Q61019,<P21,Q6581097,P21>,Q16182;1.0,1.1487194630975037,1.0,1.1487194630975037,1.0;3;8714
Baseline;Q2451;Q86891;Q2451,P1750>,Q18198729,P735>,Q5615576,<P641,Q2736,P641>,Q86891;1.0,1.0000656971473445,1.0,1.1052647312971127,1.0,1.0303254300864417,1.0,1.0303254300864417,1.0;5;45192
