sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q3082549;Q26201397;Q3082549,<P31,Q5,P31>,Q17403191,<P27,Q842,P17>,Q26201397;1.0,2.0,1.0,2.0,1.0,1.1006710392804533,1.0,1.291023482043868,1.0;5;39424
Baseline;Q3414074;Q7379174;Q3414074,<P17,Q224,P495>,Q18620506,<P404,Q208850,P404>,Q7379174;1.0,1.291023482043868,1.0,1.0291639365037737,1.0,1.0012068908001028,1.0,1.0012068908001028,1.0;5;36746
Baseline;Q21385257;Q29546454;Q21385257,<P31,Q5633421,P31>,Q5380616,<P495,Q34,P17>,Q29546454;1.0,2.0,1.0,2.0,1.0,1.0291639365037737,1.0,1.291023482043868,1.0;5;37590
Baseline;Q9837383;Q26207012;Q9837383,<P31,Q4167836,P31>,Q8664249,<P301,Q60346,P859>,Q26207012;1.0,2.0,1.0,2.0,1.0,1.0216545171364058,1.0,1.0025793792778936,1.0;5;30858
Baseline;Q26812892;Q25747833;Q26812892,<P31,Q4421,<P1424,Q10810677,<P31,Q11266439,P31>,Q25747833;1.0,2.0,1.0,1.0001893179458976,1.0,2.0,1.0,2.0,1.0;5;111156
Baseline;Q22743412;Q6386390;Q22743412,<P31,Q11266439,P971>,Q8868755,<P971,Q145,P17>,Q6386390;1.0,2.0,1.0,1.0105528097346204,1.0,1.0105528097346204,1.0,1.291023482043868,1.0;5;26003
Baseline;Q7351986;Q7080481;Q7351986,<P17,Q30,P495>,Q7963224,<P31,Q209939,P31>,Q7080481;1.0,1.291023482043868,1.0,1.0291639365037737,1.0,2.0,1.0,2.0,1.0;5;74571
Baseline;Q26249155;Q15995209;Q26249155,<P31,Q4167836,P31>,Q27670207,<P971,Q408,P17>,Q15995209;1.0,2.0,1.0,2.0,1.0,1.0105528097346204,1.0,1.291023482043868,1.0;5;38293
Baseline;Q15186752;Q16870396;Q15186752,<P31,Q3863,P31>,Q1044459,<P138,Q101352,P31>,Q16870396;1.0,2.0,1.0,2.0,1.0,1.0045080947192064,1.0,2.0,1.0;5;20602
Baseline;Q6992308;Q7203959;Q6992308,<P31,Q16521,P971>,Q7216121,<P31,Q4167836,P31>,Q7203959;1.0,2.0,1.0,1.0105528097346204,1.0,2.0,1.0,2.0,1.0;5;43944
