sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q90270;Q13470;Q90270,<P31,Q5,P31>,Q1327034,<P19,Q13470;1.0,2.0,1.0,2.0,1.0,1.261545112750799,1.0;4;3784
Baseline;Q40392;Q95745;Q40392,P31>,Q237284,<P61,Q65807,<P31,Q5,P31>,Q95745;1.0,2.0,1.0,1.0151780098878525,1.0,2.0,1.0,2.0,1.0;5;1944
Baseline;Q97181;Q35364;Q97181,<P27,Q183,P530>,Q145,P17>,Q35364;1.0,1.319707839654358,1.0,1.000812170401085,1.0,1.3597896460244627,1.0;4;4641
Baseline;Q29903;Q8493;Q29903,<P641,Q2736,P641>,Q2545757,<P27,Q874,P17>,Q8493;1.0,1.1005222016263667,1.0,1.1005222016263667,1.0,1.319707839654358,1.0,1.3597896460244627,1.0;5;5407
Baseline;Q14288;Q78505;Q14288,<P17,Q40,P27>,Q78505;1.0,1.3597896460244627,1.0,1.319707839654358,1.0;3;867
Baseline;Q44816;Q68544;Q44816,<P159,Q90,P551>,Q84445,<P551,Q12738,P131>,Q68544;1.0,1.0208862233984266,1.0,1.0040502624820553,1.0,1.0040502624820553,1.0,1.2725467067042733,1.0;5;4973
Baseline;Q17327;Q34765;Q17327,<P17,Q38,P17>,Q2384465,<P31,Q23442,P31>,Q34765;1.0,1.3597896460244627,1.0,1.3597896460244627,1.0,2.0,1.0,2.0,1.0;5;5817
Baseline;Q93821;Q34330;Q93821,<P31,Q5,P31>,Q535492,<P19,Q34330;1.0,2.0,1.0,2.0,1.0,1.261545112750799,1.0;4;4329
Baseline;Q55343;Q8185;Q55343,<P17,Q142,<P463,Q458,P1001>,Q8185;1.0,1.3597896460244627,1.0,1.0351682675263518,1.0,1.0033794391972588,1.0;4;3840
Baseline;Q81818;Q11132;Q81818,<P31,Q5,P31>,Q11132;1.0,2.0,1.0,2.0,1.0;3;2108
Baseline;Q15604;Q93268;Q15604,<P3764,Q9671,<P27,Q183,P17>,Q93268;1.0,1.0006257027069585,1.0,1.319707839654358,1.0,1.3597896460244627,1.0;4;2663
Baseline;Q10732;Q22965;Q10732,<P641,Q2736,P641>,Q2541397,<P19,Q22965;1.0,1.1005222016263667,1.0,1.1005222016263667,1.0,1.261545112750799,1.0;4;3955
Baseline;Q22384;Q28179;Q22384,<P17,Q142,P27>,Q589205,<P1343,Q678259,P1343>,Q28179;1.0,1.3597896460244627,1.0,1.319707839654358,1.0,1.0191136292690743,1.0,1.0191136292690743,1.0;5;5537
Baseline;Q91968;Q99723;Q91968,<P31,Q5,P31>,Q99723;1.0,2.0,1.0,2.0,1.0;3;3436
Baseline;Q71521;Q66780;Q71521,<P27,Q183,P530>,Q30,P17>,Q66780;1.0,1.319707839654358,1.0,1.000812170401085,1.0,1.3597896460244627,1.0;4;4596
Baseline;Q69026;Q9626;Q69026,<P17,Q142,<P530,Q145,P17>,Q9626;1.0,1.3597896460244627,1.0,1.000812170401085,1.0,1.3597896460244627,1.0;4;3720
Baseline;Q86639;Q78508;Q86639,<P1412,Q188,P1412>,Q78508;1.0,1.1137563433547057,1.0,1.1137563433547057,1.0;3;2719
Baseline;Q7608;Q67533;Q7608,<P361,Q39484,P2408>,Q326909,<P364,Q188,P1412>,Q67533;1.0,1.0367387398835521,1.0,1.0001919926628415,1.0,1.030588068461729,1.0,1.1137563433547057,1.0;5;1554
Baseline;Q77192;Q87673;Q77192,<P31,Q5,P31>,Q87673;1.0,2.0,1.0,2.0,1.0;3;2025
