sep=;
Variations;Start node;End node;Path;Weight;Path length;Search duration
Baseline;Q441931;Q897517;Q441931,<P103,Q150,P364>,Q2992464,<P31,Q209939,P31>,Q897517;1.0,1.0159096078285124,1.0,1.030588068461729,1.0,2.0,1.0,2.0,1.0;5;3972
Baseline;Q2131063;Q94316;Q2131063,<P17,Q183,P530>,Q17,P27>,Q94316;1.0,1.3597896460244627,1.0,1.000812170401085,1.0,1.319707839654358,1.0;4;4580
Baseline;Q439518;Q2995142;Q439518,<P17,Q183,P27>,Q111043,<P101,Q1747689,P1001>,Q2995239,P31>,Q2995142;1.0,1.3597896460244627,1.0,1.319707839654358,1.0,1.0055346374101157,1.0,1.0033794391972588,1.0,2.0,1.0;6;6042
Baseline;Q1044026;Q3091156;Q1044026,<P17,Q17,P47>,Q148,P27>,Q1649628,<P102,Q3091156;1.0,1.3597896460244627,1.0,1.1912955959553546,1.0,1.319707839654358,1.0,1.0410491363092655,1.0;5;5333
Baseline;Q1612981;Q2134247;Q1612981,<P27,Q183,P47>,Q55,P17>,Q2134247;1.0,1.319707839654358,1.0,1.1912955959553546,1.0,1.3597896460244627,1.0;4;4979
Baseline;Q2456218;Q1396010;Q2456218,<P31,Q5,P31>,Q238819,<P1412,Q727694,P2439>,Q1396010;1.0,2.0,1.0,2.0,1.0,1.1137563433547057,1.0,1.0001330596632163,1.0;5;6195
Baseline;Q539174;Q1964632;Q539174,<P31,Q46831,P31>,Q600408,<P17,Q145,P495>,Q1964632;1.0,2.0,1.0,2.0,1.0,1.3597896460244627,1.0,1.0456030917724928,1.0;5;4784
Baseline;Q685513;Q2190338;Q685513,<P17,Q36,<P47,Q183,P17>,Q315135,<P31,Q127933,P279>,Q2190338;1.0,1.3597896460244627,1.0,1.1912955959553546,1.0,1.3597896460244627,1.0,2.0,1.0,1.0304393547204873,1.0;6;5930
Baseline;Q47138;Q1786130;Q47138,<P31,Q515,P31>,Q877404,<P131,Q43325,P131>,Q1786130;1.0,2.0,1.0,2.0,1.0,1.2725467067042733,1.0,1.2725467067042733,1.0;5;5887
Baseline;Q963270;Q549389;Q963270,<P31,Q5,P31>,Q550192,P138>,Q192027,<P460,Q549389;1.0,2.0,1.0,2.0,1.0,1.0166646868862106,1.0,1.0040203355681832,1.0;5;5718
