sep=;
Max
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;8,0;57899,0;1,0281478E7;2198252,0;1,0
Degree;62,0;51014,0;1,0239343E7;1827249,0;1827249,0
Degree and edge weight;62,0;42986,0;1,0577106E7;1827249,0;1827249,0
Degree normalized;8,0;51639,0;1,0284361E7;2198252,0;2,0
Degree normalized and edge weight;8,0;55606,0;1,2303917E7;2198252,0;2,0
PageRank;62,0;41621,0;1,0111025E7;1827249,0;0,058926938172623164
PageRank and edge weight;8,0;56812,0;1,314413E7;2198252,0;0,058926938172623164
PageRank normalized;8,0;41758,0;1,0277948E7;2198252,0;2,0
PageRank normalized and edge weight;8,0;50318,0;1,1783507E7;2198252,0;2,0
Min
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;3,0;2792,0;272854,0;53208,0;1,0
Degree;3,0;2806,0;246352,0;31,0;31,0
Degree and edge weight;3,0;2746,0;218740,0;31,0;31,0
Degree normalized;3,0;3056,0;278562,0;2653,0;1,0012068680023947
Degree normalized and edge weight;3,0;3721,0;117807,0;2653,0;1,0012068680023947
PageRank;3,0;2136,0;36786,0;38,0;6,661135626084592E-8
PageRank and edge weight;3,0;9422,0;178822,0;4320,0;1,2626574127192042E-4
PageRank normalized;3,0;2487,0;297260,0;2653,0;1,0002724385967594
PageRank normalized and edge weight;3,0;2712,0;175885,0;4320,0;1,0003413259014724
Mean
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;4,96;26126,94;5277125,14;1317710,79;1,0
Degree;10,11;21744,45;5075389,0;688832,41;688832,41
Degree and edge weight;10,01;24492,59;5294877,12;688832,41;688832,41
Degree normalized;4,96;30686,33;5283348,19;1055831,86;1,480305197038375
Degree normalized and edge weight;4,96;35997,34;6140147,43;1079299,45;1,4909807656265075
PageRank;10,98;22784,63;5045261,14;688928,93;0,020812973234800566
PageRank and edge weight;4,99;35131,32;6132779,23;1112892,63;0,023493711579264435
PageRank normalized;4,96;28628,33;5426187,37;1101821,88;1,3895340120876642
PageRank normalized and edge weight;4,96;33047,13;6044313,21;1127904,14;1,3965308799172633
25 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5,0;21104,0;3080695,0;697101,0;1,0
Degree;6,0;13582,0;2302835,0;573,0;573,0
Degree and edge weight;6,0;16013,0;2438137,0;573,0;573,0
Degree normalized;5,0;23818,0;2630952,0;620602,0;1,2823161311805926
Degree normalized and edge weight;5,0;30337,0;2584282,0;620602,0;1,2823161311805926
PageRank;6,0;13970,0;2083846,0;573,0;6,452851824860807E-6
PageRank and edge weight;5,0;24191,0;2181284,0;620602,0;0,0062462676393898
PageRank normalized;5,0;22551,0;2749045,0;620602,0;1,076761679386687
PageRank normalized and edge weight;5,0;25823,0;2712978,0;620602,0;1,1060002069188068
Median
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5,0;25830,0;5772495,0;1800008,0;1,0
Degree;9,0;21926,0;4813795,0;56754,0;56754,0
Degree and edge weight;9,0;25821,0;5098825,0;56754,0;56754,0
Degree normalized;5,0;32379,0;4991014,0;775373,0;1,3527225268076635
Degree normalized and edge weight;5,0;38855,0;6847906,0;775373,0;1,3527225268076635
PageRank;9,0;23486,0;4740755,0;56754,0;0,0012042847678608592
PageRank and edge weight;5,0;37940,0;6092514,0;775373,0;0,007000259666384168
PageRank normalized;5,0;30050,0;5351052,0;775373,0;1,1187955777691572
PageRank normalized and edge weight;5,0;36409,0;6590167,0;775373,0;1,1187955777691572
75 Percentile
Variations;Path length;Search duration;Visited nodes;Max degree;Max weight
Baseline;5,0;33762,0;7569589,0;1827249,0;1,0
Degree;13,0;28911,0;8291719,0;1827249,0;1827249,0
Degree and edge weight;13,0;33481,0;8626040,0;1827249,0;1827249,0
Degree normalized;5,0;38736,0;8436920,0;1827249,0;1,8312281758415323
Degree normalized and edge weight;5,0;45519,0;9343524,0;1827249,0;1,8312281758415323
PageRank;15,0;30748,0;8518382,0;1827249,0;0,058926938172623164
PageRank and edge weight;5,0;46083,0;9882689,0;1827249,0;0,058926938172623164
PageRank normalized;5,0;37066,0;8423075,0;1827249,0;2,0
PageRank normalized and edge weight;5,0;41790,0;9243098,0;1827249,0;2,0
